epoch, train loss, val loss, train acc, val acc, miou
120, 0.09134, 0.26145, 0.96825, 0.92605, 0.58694
121, 0.08616, 0.27791, 0.96967, 0.92445, 0.57137
122, 0.08501, 0.28690, 0.97010, 0.92263, 0.55456
123, 0.09034, 0.25371, 0.96826, 0.92641, 0.59298
124, 0.08634, 0.26895, 0.96945, 0.92524, 0.57481
125, 0.08374, 0.25420, 0.97037, 0.92794, 0.58958
126, 0.08231, 0.25823, 0.97105, 0.92565, 0.57357
127, 0.08045, 0.27454, 0.97117, 0.92587, 0.57403
128, 0.08530, 0.26620, 0.96967, 0.92644, 0.58395
129, 0.08552, 0.27996, 0.96968, 0.92110, 0.56496
130, 0.08263, 0.27621, 0.97087, 0.92575, 0.57565
131, 0.08426, 0.26491, 0.97027, 0.92721, 0.58382
132, 0.08221, 0.26380, 0.97050, 0.92778, 0.58908
133, 0.08569, 0.26532, 0.96959, 0.92673, 0.58522
134, 0.08064, 0.26337, 0.97120, 0.92761, 0.58723
135, 0.07990, 0.27497, 0.97158, 0.92648, 0.57590
136, 0.08368, 0.26096, 0.97020, 0.92655, 0.57751
137, 0.07749, 0.27697, 0.97239, 0.92607, 0.57034
138, 0.07941, 0.26475, 0.97160, 0.92656, 0.57573
139, 0.07687, 0.27830, 0.97255, 0.92439, 0.56316
140, 0.07874, 0.28078, 0.97192, 0.92602, 0.56999
141, 0.08305, 0.27428, 0.97035, 0.92181, 0.57713
142, 0.08142, 0.26720, 0.97103, 0.92658, 0.58327
143, 0.08039, 0.26917, 0.97106, 0.92690, 0.57796
144, 0.07849, 0.26910, 0.97177, 0.92812, 0.58232
145, 0.07735, 0.25950, 0.97227, 0.92838, 0.58292
146, 0.07672, 0.26622, 0.97254, 0.92834, 0.58032
147, 0.07753, 0.26885, 0.97230, 0.92602, 0.57817
148, 0.07853, 0.25671, 0.97187, 0.92900, 0.58362
149, 0.07523, 0.27133, 0.97286, 0.92722, 0.57910
150, 0.07645, 0.25677, 0.97258, 0.92782, 0.58526
151, 0.07587, 0.26761, 0.97277, 0.92772, 0.58347
152, 0.07779, 0.26514, 0.97227, 0.92783, 0.58973
153, 0.07144, 0.26353, 0.97449, 0.92875, 0.58479
154, 0.07344, 0.26447, 0.97347, 0.92791, 0.57971
155, 0.07458, 0.27774, 0.97304, 0.92519, 0.56410
156, 0.07263, 0.27370, 0.97377, 0.92755, 0.57878
157, 0.07536, 0.26758, 0.97280, 0.92760, 0.57871
158, 0.07258, 0.27625, 0.97382, 0.92727, 0.57672
159, 0.07079, 0.27438, 0.97441, 0.92782, 0.57972
160, 0.07436, 0.25977, 0.97347, 0.92808, 0.58079
161, 0.07331, 0.28429, 0.97361, 0.92587, 0.57596
162, 0.07483, 0.26925, 0.97300, 0.92622, 0.58328
163, 0.07473, 0.27887, 0.97294, 0.92376, 0.57719
164, 0.07200, 0.27437, 0.97401, 0.92638, 0.57804
165, 0.07443, 0.27359, 0.97348, 0.92694, 0.58627
166, 0.07271, 0.27198, 0.97370, 0.92701, 0.58155
167, 0.07424, 0.29171, 0.97308, 0.92498, 0.57354
168, 0.07646, 0.28111, 0.97258, 0.92584, 0.57355
169, 0.07417, 0.29550, 0.97331, 0.92070, 0.56702
170, 0.07179, 0.28121, 0.97414, 0.92386, 0.57489
171, 0.07404, 0.28588, 0.97315, 0.92459, 0.57162
172, 0.07146, 0.26840, 0.97423, 0.92696, 0.58325
173, 0.07254, 0.26594, 0.97406, 0.92783, 0.58442
174, 0.06998, 0.27296, 0.97450, 0.92673, 0.57570
175, 0.07404, 0.27655, 0.97333, 0.92381, 0.57348
176, 0.07038, 0.29121, 0.97432, 0.92500, 0.56542
177, 0.06874, 0.28378, 0.97513, 0.92306, 0.57215
178, 0.07111, 0.27978, 0.97424, 0.92424, 0.57583
